Series	year	month	day	data_recorder	data_collector	boat_driver	starttime_hour	starttime_min	endtime_hour	endtime_min	site	surfacetemp_fishfinder_farenheit	depth_ft	airtemp_c	percentcloudcover	precipitation	precip_type	windspeed_kmh	wind_direction	hightide1_hour	hightide1_min	hightide1_m	lowtide1_hour	lowtide1_min	lowtide1_m	hightide2_hour	hightide2_min	hightide2_m	lowtide2_hour	lowtide2_min	lowtide2_m	tek_plants	tek_birds	tek_amphibians	tek_invertebrates	gateactivity1_type	gateactivity1_hour	gateactivity1_min	gateactvity1_notes	gateactivity2_type	gateactivity2_hour	gateactivity2_min	gateactivity2_notes	gateactivity3_type	gateactivity3_hour	gateactivity3_min	gateactivity3_notes	gateactivity4_type	gateactivity4_hour	gateactivity4_min	gateactivity4_notes	gear_type	net_material	meshsize_inch	eelpotnumber	eelpot_bait	eelpot_baittype	gps_waypoint_in	utm_in_zone	utm_in_n	utm_in_e	utm_out_n	utm_out_e	gearnumber_set	set_number	newsetnum	timein_year	timein_month	timein_day	timein_hour	timein_min	timeout_month	timeout_day	timeout_hour	timeout_min	capture	common_name	species_name	unknown_species_note	fl_cm	tl_cm	sex	weight_g	abundance	notes	notes2
1923	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.6	27.5	M	NA	1	NA	NA
1924	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.6	F	NA	1	NA	NA
1925	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.7	28.9	F	NA	1	NA	NA
1926	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.4	M	NA	1	NA	NA
1927	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.3	27.5	F	NA	1	NA	NA
1928	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.4	28.5	F	NA	1	NA	NA
1929	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.6	F	NA	1	NA	NA
1930	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	29.3	F	NA	1	NA	NA
1931	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.7	29.2	F	NA	1	NA	NA
1932	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.5	28.8	F	NA	1	NA	NA
1933	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.8	28.6	M	NA	1	NA	NA
1934	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28	F	NA	1	NA	NA
1935	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.2	27.7	M	NA	1	NA	NA
1936	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	29.8	F	NA	1	NA	NA
1937	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.5	27.4	M	NA	1	NA	NA
1938	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24	27.5	F	NA	1	NA	NA
1939	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.7	27.3	M	NA	1	NA	NA
1940	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.5	27.6	F	NA	1	NA	NA
1941	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.9	29.1	F	NA	1	NA	NA
1942	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.6	30.2	F	NA	1	NA	NA
1943	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.5	27.6	F	NA	1	NA	NA
1944	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	30	F	NA	1	NA	NA
1945	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.7	29	F	NA	1	NA	NA
1946	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	28.5	F	NA	1	NA	NA
1947	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26.8	30	F	NA	1	NA	NA
1948	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.4	29.1	F	NA	1	NA	NA
1949	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	27.7	F	NA	1	NA	NA
1950	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.3	M	NA	1	NA	NA
1951	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	23.9	27	M	NA	1	NA	NA
1952	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	30	F	NA	1	NA	NA
1953	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26	30.5	F	NA	1	NA	NA
1954	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.6	28.9	F	NA	1	NA	NA
1955	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	27	31.6	F	NA	1	NA	NA
1956	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.5	26.9	F	NA	1	NA	NA
1957	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	26.5	30	F	NA	1	NA	NA
1958	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	27	31	F	NA	1	NA	NA
1959	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25.2	28.5	F	NA	1	NA	NA
1960	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	23.4	26.3	F	NA	1	NA	NA
1961	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	27	31.5	F	NA	1	NA	NA
1962	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.3	M	NA	1	NA	NA
1963	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	28	30.6	F	NA	1	NA	NA
1964	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.6	27.7	F	NA	1	NA	NA
1965	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24.3	27.5	F	NA	1	NA	NA
1966	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	24	27.1	M	NA	1	NA	NA
1967	2017	5	8	"Emma Carmichael, Maja Reinhartsen"	"Maja Reinhartsen, Emma Carmichael"	Darren Porter	8	0	13	15	Tideside	55	16.4	11	70	Y	Rain	18	SW	12	1	12.92	6	23	1.71	12	23	12.85	6	43	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gillnet	Monofilament	2.89	NA	NA	NA	178	NA	NA	NA	NA	NA	3	3	1	2017	5	8	9	56	5	8	10	28	Y	Alewife	Alosa pseudoharengus	NA	25	28.5	F	NA	1	NA	NA
